Hrapx,Hrapy,Lat,Lon,Globvalue
8,12,10.0112,11.68,0.08950527359288296
8,13,10.0112,11.82,0.5868738073912143
8,14,10.0112,11.96,0.670467966081384
8,15,10.0112,12.1,0.7477102829699573
8,16,10.0112,12.24,0.5788169859322168
8,17,10.0112,12.38,0.45008836199357016
8,18,10.0112,12.52,0.06859672832583474
8,19,10.0112,12.66,0.8243753714472712
8,20,10.0112,12.8,0.2843967061633057
8,21,10.0112,12.940000000000001,0.27920526115762057
8,22,10.0112,13.08,0.32164788178838455
8,23,10.0112,13.22,0.862607392916893
8,24,10.0112,13.36,0.8823194970049014
8,25,10.0112,13.5,0.24788498521562619
8,26,10.0112,13.64,0.7949924019640104
8,27,10.0112,13.780000000000001,0.8475966176810947
8,28,10.0112,13.92,0.324785091963369
8,29,10.0112,14.06,0.5305692097405218
8,30,10.0112,14.2,0.04407117084683021
8,31,10.0112,14.34,0.2564938102476655
8,32,10.0112,14.48,0.2766611948157677
8,33,10.0112,14.620000000000001,0.7229498729882647
8,34,10.0112,14.760000000000002,0.7000572263794916
8,35,10.0112,14.9,0.6116887342787943
8,36,10.0112,15.040000000000001,0.9348116339667331
8,37,10.0112,15.18,0.590584100470396
8,38,10.0112,15.32,0.8812674146183809
8,39,10.0112,15.46,0.94766787093652
8,40,10.0112,15.600000000000001,0.6068189656765873
20,9,10.028,11.26,0.03312995712012201
20,10,10.028,11.4,0.1662824057881651
20,11,10.028,11.54,0.9836346485722086
20,12,10.028,11.68,0.20751164937846378
20,13,10.028,11.82,0.2111759033687599
20,14,10.028,11.96,0.36258474822770737
20,15,10.028,12.1,0.5182987422467608
20,16,10.028,12.24,0.8366070928173934
20,17,10.028,12.38,0.5589064300057897
20,18,10.028,12.52,0.9020193199062554
20,19,10.028,12.66,0.09006818605612732
20,20,10.028,12.8,0.6991101355694569
20,21,10.028,12.940000000000001,0.35132788495563627
20,22,10.028,13.08,0.01811477703592035
20,23,10.028,13.22,0.21620990361659276
20,24,10.028,13.36,0.6197109700911553
20,25,10.028,13.5,0.15207215157186893
20,26,10.028,13.64,0.7953470568885641
20,27,10.028,13.780000000000001,0.1881264364907067
877,0,11.2278,10.0,0.08196369254090285
877,1,11.2278,10.14,0.2943719227417281
877,2,11.2278,10.28,0.8274857823083763
877,3,11.2278,10.42,0.7514377765305307
877,4,11.2278,10.56,0.8505836463059679
877,5,11.2278,10.7,0.8305299274357797
877,6,11.2278,10.84,0.4943662802593016
877,7,11.2278,10.98,0.5129752325764105
877,8,11.2278,11.120000000000001,0.9967007951985161
877,9,11.2278,11.26,0.16724898194715065
877,10,11.2278,11.4,0.9820881437861151
877,11,11.2278,11.54,0.10003166628727655
877,12,11.2278,11.68,0.28983659145397433
877,13,11.2278,11.82,0.984852381994438
877,14,11.2278,11.96,0.11748998060933269
877,15,11.2278,12.1,0.6861012253186267
877,16,11.2278,12.24,0.7036948257839963
877,17,11.2278,12.38,0.33216386677802345
877,18,11.2278,12.52,0.48720119932605255
877,19,11.2278,12.66,0.37895206959091443
877,20,11.2278,12.8,0.5022556019961588
877,21,11.2278,12.940000000000001,0.246316060692221
878,0,11.2292,10.0,0.5920572251659789
878,1,11.2292,10.14,0.25638075191231935
878,2,11.2292,10.28,0.1642204623089505
878,3,11.2292,10.42,0.9799734722179135
878,4,11.2292,10.56,0.15685745699223352
878,5,11.2292,10.7,0.8168308684824729
878,6,11.2292,10.84,0.3941428274219808
878,7,11.2292,10.98,0.5028203312235254
878,8,11.2292,11.120000000000001,0.9997481923743927
878,9,11.2292,11.26,0.02173226554371399
878,10,11.2292,11.4,0.8873762658126476
878,11,11.2292,11.54,0.14444969233945226
878,12,11.2292,11.68,0.1934349096874316
878,13,11.2292,11.82,0.1186859509239685
878,14,11.2292,11.96,0.05183658381875067
878,15,11.2292,12.1,0.877299853116196
878,16,11.2292,12.24,0.8597661675862804
878,17,11.2292,12.38,0.32430002882018216
878,18,11.2292,12.52,0.338996097169895
878,19,11.2292,12.66,0.7338359891316035
878,20,11.2292,12.8,0.5759907032839036
878,21,11.2292,12.940000000000001,0.8024510324429193
878,22,11.2292,13.08,0.141638856888051
878,23,11.2292,13.22,0.28692448279418425
878,24,11.2292,13.36,0.4736315572349281
878,25,11.2292,13.5,0.505429846094242
878,26,11.2292,13.64,0.8733045219584568
878,27,11.2292,13.780000000000001,0.08070251910837545
878,28,11.2292,13.92,0.6726701390171936
878,29,11.2292,14.06,0.8455358874121774
878,30,11.2292,14.2,0.6344527633177756
878,31,11.2292,14.34,0.6619072158021728
878,32,11.2292,14.48,0.9997984450936086
878,33,11.2292,14.620000000000001,0.707643782695409
878,34,11.2292,14.760000000000002,0.8011502368379496
878,35,11.2292,14.9,0.2331669738908163

